Order,Position_x,Position_y,Position_z,Owner_ID,Distance_to_Camera,Connected_Vertices,Bottom_Left_x,Bottom_Left_y,Bottom_Left_z,Top_Left_x,Top_Left_y,Top_Left_z,Top_Right_x,Top_Right_y,Top_Right_z,Bottom_Right_x,Bottom_Right_y,Bottom_Right_z,Frustum_Apex_x,Frustum_Apex_y,Frustum_Apex_z,Is_Visible,Out_Of_Frame,BehindAMesh
23,0.5274854,-0.3525147,0,-9518,4.26612,189 109 42 45 154 337,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
24,0.8800001,-0.3525147,0.3525147,-9518,4.352315,112 211 48 51 301 142,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
25,1.232515,-0.3525147,3.814697E-08,-9518,4.833583,57 115 207 54 265 130,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
26,1.233691,0.3527881,-1.144409E-07,-9518,4.788719,60 118 229 63 136 283,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
27,0.8800001,0.3527881,0.3536914,-9518,4.300719,225 66 121 69 148 319,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
28,0.5263086,0.3527881,0,-9518,4.213175,72 124 247 75 160 355,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
29,0.8799998,0.3527881,-0.3536914,-9518,4.710253,81 127 243 78 172 391,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
30,1.233552,-3.128662E-11,0.3535523,-9518,4.616014,261 84 133 87 151 315,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
31,1.233691,-0.0008836466,-0.3536914,-9518,4.999893,93 139 279 90 369 169,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
32,0.5264478,3.128662E-11,0.3535523,-9518,4.016048,297 96 145 99 163 351,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
33,0.5263086,-0.0008836116,-0.3536914,-9518,4.451735,333 102 157 105 175 387,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
34,1.120193,-0.3089014,-0.3089014,-9518,4.911727,8 178 179 35 91 367,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
35,1.050142,-0.3313476,-0.3313476,-9518,4.872693,34 179 180 36 367 370,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,0,0,1
36,0.9680603,-0.3469702,-0.3469702,-9518,4.820086,35 180 106 22 370 373,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
37,0.6398071,-0.3089014,-0.3089014,-9518,4.539454,38 187 40 10 359 358,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
38,0.7098584,-0.3313476,-0.3313476,-9518,4.609865,39 190 187 37 360 359,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
39,0.7919397,-0.3469702,-0.3469702,-9518,4.684368,22 193 190 38 166 360,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
40,0.5710986,-0.3089014,-0.2401929,-9518,4.443531,187 41 37 10 100 331,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
41,0.5486524,-0.3313476,-0.1701416,-9518,4.385108,188 42 187 40 331 334,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
42,0.5330298,-0.3469702,-0.0880603,-9518,4.323924,189 23 188 41 334 337,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
43,0.5710986,-0.3089014,0.2401929,-9518,4.151972,11 196 199 44 323 322,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
44,0.5486524,-0.3313476,0.1701416,-9518,4.177794,43 199 202 45 324 323,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
45,0.5330298,-0.3469702,0.0880603,-9518,4.21634,44 202 109 23 154 324,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
46,0.6398071,-0.3089014,0.3089014,-9518,4.169373,197 47 196 11 94 295,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
47,0.7098584,-0.3313476,0.3313476,-9518,4.218256,198 48 197 46 295 298,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
48,0.7919397,-0.3469702,0.3469702,-9518,4.280553,112 24 198 47 298 301,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
49,1.120193,-0.3089014,0.3089014,-9518,4.57188,50 205 52 9 287 286,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
50,1.050142,-0.3313476,0.3313476,-9518,4.503994,51 208 205 49 288 287,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
51,0.9680603,-0.3469702,0.3469702,-9518,4.428664,24 211 208 50 142 288,-2.373663,0.05295172,2.769399,-2.285386,0.3812312,2.702768,-2.736656,0.3812312,2.104889,-2.824934,0.05295175,2.17152,-2.782076,0.3128749,2.608418,1,0,0
